space,log_n_unique_voters,mean_robust_participation_vp,std_robust_participation_vp,gini_voting_power,whale_ratio_top1pct,proposal_frequency_per_30d,repeat_voter_rate,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_choice_entropy,z_rep_pct_aligned_with_majority
0035666.eth,5.488937726156687,0.4192833043689462,0.4162863812535772,0.0168733423126437,0.8721483871395331,6.075346031088684,0.6514522821576764,0.599768389989445,-0.478585210817815,-0.203773738135553,-0.641373085624895,0.4673705313633683
01meta.eth,8.65591111072806,0.2466118914091177,0.3813863382650277,0.6494916995518516,0.5987663265453869,1.3372382041306965,0.6740379592547449,-0.512726747597671,0.8867774490209763,-0.123955718973055,-0.0721770268351413,-0.848781177243025
0vix-protocol.eth,6.366470447731438,0.630656160151398,0.2786752216717543,0.8421897614991916,0.5079608989601261,1.2216078007155724,0.6678141135972461,-0.115794575656491,0.4457136146212613,-0.188114724608792,0.2165967891079458,-0.0085080129822249
0xgov.eth,6.421622267806518,0.4509287557622151,0.3173933308888667,0.9323686215138608,0.439578608474206,0.5823518689161621,0.5765472312703583,0.3303237800632603,-0.244828546712945,0.0493080491392823,-0.234467986488242,0.1992754205015003
0xmetamask.eth,7.080867896690782,0.1749741612747226,0.3066259145432533,0.8788954164960585,0.6548548096724376,2.1594068589574817,0.6111111111111112,-0.192618248535545,0.1414579691266186,0.0030392592536767,0.0727789445086682,-0.274266239064881
10b57e6da0.eth,6.835184586147301,0.4971419181426576,0.2991272302970167,0.4410234369434804,0.1939530197940983,0.46496983930796065,0.658772874058127,0.2146083035651525,-0.213383259952014,0.0614154457673468,-0.0515274212497932,0.134526862145378
1213.eth,4.59511985013459,1.0104166666666667,0.071787943081898,0.0,1.0,4.4509214621389885,0.0,-1.31888337175879,1.975937924161633,-0.110277070391481,-0.661342460200191,0.5590180930008694
14cat.eth,8.123854263105914,0.1632596885370181,0.3311990998396851,0.3558835397920808,0.5807517176494434,3.1444880933057444,0.4782093092202787,-0.108328015207083,0.3931462948326588,-0.161037818785071,-0.34789654406066,0.0603987971789383
161610.eth,4.77912349311153,0.391408283947147,0.2885814355845607,0.0002492174917462,0.967654146995898,1.6492158838910196,0.4406779661016949,0.1126315030571586,0.1216753292885196,-0.130437839613132,-0.143613852458168,-0.208357637124618
1inch.eth,7.3427791893318455,0.5004210475133747,0.2353130304534739,0.924175837612652,0.422611832627909,1.004190327630545,0.7227979274611399,0.2572591494735342,-0.153853590301537,0.0582676630142545,-0.0019292245459276,0.0889225593525143
1todamoon.eth,6.498282149476434,0.2698859213280239,0.3439724037747386,0.4433943161431286,0.5599264820084915,2.0561271688247262,0.4328808446455505,-0.319263699815015,0.5368858871462526,-0.0456661252862901,-0.153443221854556,-0.478751742895818
2021eth.eth,8.18423477409482,0.167334111520158,0.3261244993048177,0.0,1.0,2.837182846813659,0.6952274630198158,-0.342065685692205,0.4234375854855143,0.3606164152938681,0.506210240530322,-0.2779514948434
4867.eth,3.367295829986474,1.0,0.0,0.0,1.0,3.4692021107762128,0.0,-2.14903610888864,3.099881359106184,-0.203773738135553,-0.661342460200191,0.5590180930008694
51588.eth,7.931284761525891,0.2629804548343006,0.3399084816205227,0.6781772934603634,0.4284963980801317,1.6212490733624452,0.1218547807332854,-0.794629654310919,1.2851580634958464,-0.0923417522680385,-0.577735751172475,-0.318928227852814
53231323.eth,6.9957661563048505,0.4674092550464673,0.3204866549650649,0.8181911530981093,0.3605699192563499,0.7435780341868372,0.7479376718606783,-0.0060177542444277,0.044410992306969,0.052550793723012,0.1842996041885088,-0.0572826466275658
551111155.eth,3.2188758248682006,0.4761904761904762,0.2916814828819422,0.0,1.0,1.0360919316867756,0.1666666666666666,-0.557448833424696,0.8513940920830315,-0.203773738135553,-0.469008553916696,-0.333388466782473
5552.eth,4.219507705176107,1.0,0.0,0.0,1.0,4.013212673017065,0.0,-1.88536968730472,2.756633421453772,-0.203773738135553,-0.661342460200191,0.5590180930008694
691800.eth,8.14351740579748,0.35567290179829,0.295498122661549,0.0,1.0,2.616352535921502,0.6529069767441861,-0.34371146927284,0.4875261574820962,0.2146713083905848,0.2531826970963817,-0.110792320850283
721nftdao.eth,5.993961427306569,0.5871414788176476,0.3015526890505465,0.5051179308449918,0.2232125653382099,0.5496235933069732,0.725,-0.314220889730141,0.3910379772937446,-0.039184741434788,0.4298087699656319,-0.10297916159445
79798.eth,3.4965075614664802,1.0,0.0,0.0,1.0,3.7551149042180167,0.0,-1.19020969750367,1.8516557174129569,-0.203773738135553,-0.661342460200191,0.5590180930008694
857.79798.eth,3.912023005428146,1.0,0.0,0.0,1.0,4.0153815184153,0.0,-1.35208948124399,2.06239511146506,-0.203773738135553,-0.661342460200191,0.5590180930008694
8848labs.eth,8.287025025165063,0.373334197011122,0.3304804559042023,0.0232120667666628,0.0259028672592477,1.6236225474260568,0.5240493578443717,-0.635687691172686,0.6184807146700035,0.7304617565484621,0.4191673526418284,-0.431929215669568
9679999.eth,5.438079308923196,0.3509615384615384,0.3487519051409323,0.0,1.0,5.820082930352362,0.1353711790393013,-0.546297558059611,0.9763946779353329,-0.123750389324033,-0.545755534437944,-0.297341476922229
aavedao.eth,11.257542772513368,0.6091135300338084,0.2762379678828397,0.989320587359136,0.8885029999725215,2.6967176738901575,0.8499890267360349,0.2604446223387839,-0.233323769053497,0.1120330600232864,0.1524324743657956,0.1285007982090922
aavegotchi.eth,9.504128762859725,0.4974968217005902,0.2971455090597006,0.8349266053544362,0.3413791206487776,2.18599996969106,0.867451915908752,-1.23200154504531,-0.108104555553258,0.0786476094820672,0.1591644277347877,0.0710479357444229
abcdcba.eth,7.992944547318106,0.1638380528270224,0.335720764330201,0.3227148015378041,0.6313701399336653,3.2616646571285823,0.4903683676917877,-0.421072032718557,0.8048236011767463,-0.121726769802616,-0.126732601767476,-0.0325047717248022
abracadabrabymerlinthemagician.eth,7.8050670442584895,0.4847994489384817,0.282612235864678,0.8079135882639991,0.6025641916471923,1.1801144955060998,0.5840130505709625,0.4566779661426567,-0.339040031584153,-0.103524612985164,-0.393003926718895,0.4169978086602887
acrossprotocol.eth,7.3777589082278725,0.4640781284907116,0.2871238071122453,0.9228370154006132,0.5433600318337731,1.2602536402245255,0.7110694183864915,0.4273615801978379,-0.318230463516959,-0.0651592653255418,-0.349620596782142,0.298868921770792
aladdindao.eth,6.1903154058531475,0.1279040704196039,0.3378387695094866,0.1989886880687796,0.8688419701303611,2.6024443769677457,0.6160164271047228,-0.92987428069699,-0.436647148089534,-0.202597830353351,-0.584542321808323,0.442791678897701
alchemistcoin.eth,7.355001921105257,0.1990325481203665,0.3048276089833897,0.7949889187813868,0.332070927488623,0.47840383137100223,0.381957773512476,-1.34137527101064,0.440519246963786,0.5446966430441355,-0.391456833836764,-0.314544181601732
alchemixstakers.eth,7.722234744709607,0.4065738448333167,0.2871472254707291,0.8766320375179117,0.5006256562334418,1.1393668272876343,0.6101019051838724,0.0032611049511838,-0.122077428729715,0.4689118615537035,0.0109168440795672,0.1732420569836233
alexec.eth,7.357556200910353,0.1106086922566575,0.3740516064041706,0.039804691789261,0.9474819782026296,1.089272661071977,0.0031908104658583,-0.946184910976857,1.5339777809953434,-0.203773738135553,-0.657510613177702,-1.39123478764881
alpacafinance.eth,7.473637108496206,0.5546391204126239,0.3277106398917588,0.9069236886599996,0.5041902951496167,1.0009961057099446,0.6994318181818182,0.0675053562200663,0.0600000454696638,0.0278611122506213,0.123294180773301,-0.111383009426102
ampleforthorg.eth,5.733341276897746,0.147246754632745,0.3429166854606734,0.5763757128962096,0.559489502615194,0.6675640315718899,0.5422077922077922,-0.593485671062974,0.2260635279583109,-0.173493567332075,-0.355071046390325,0.0487081582767509
anglegovernance.eth,6.380122536899765,0.5124905981785736,0.3854876406769374,0.8538344221424427,0.8078917581372349,1.3657583169198142,0.7792869269949066,-2.21676924894613,-0.443371979325691,-0.151486581339288,-0.519171868106841,0.4456767597854755
apecoin.eth,9.53755560876329,0.4719399534288319,0.3105835705188048,0.954037398562641,0.6044094589456116,2.2337439274406043,0.7682768565248739,-0.48420519960019,0.4299264241109774,0.2557933119597922,0.6170742373121796,-0.524369545599093
apeswap-finance.eth,6.293419278846481,0.2581130179060341,0.3615629511543477,0.8396372235668751,0.3082438321939071,0.4366053488438875,0.5814814814814815,-0.711409730332895,0.7966223319519952,0.6960306894143751,0.2946714324277293,-0.258162804841715
apollodao.eth,6.957497370876951,0.1397073401152875,0.3599025081539204,0.2074488548574564,0.7346029428983267,3.0558732973921123,0.700952380952381,-0.434817052862251,0.831364024987154,-0.141414246396023,0.0896730004518882,-0.276914630240399
apolloxdao.eth,5.488937726156687,0.5013081619719411,0.2584343759662756,0.7252835162194089,0.3229353543810041,0.7121953755306397,0.5228215767634855,-1.15040555114856,1.6049982086915615,0.1743063305564373,0.2688383258954694,-0.147715400928936
arbitrumfoundation.eth,12.522385905656087,0.7624388372794951,0.1447940474001146,0.9962641734930296,0.9835373675626532,2.4748885335433553,0.7561577342016172,0.069914683340189,-0.0998212163850691,0.2179512090414396,0.2719196641518737,-0.0641768875813377
assangedao.eth,7.066466970136958,0.6435427913313155,0.2774473140319217,0.7456884793371312,0.1901175868200839,0.3489528978448221,0.7685738684884714,0.1189407392977789,-0.220101798274354,-0.0848060655297982,-0.135568060346146,-0.0663492863145379
astardegens.eth,7.60339933974067,0.4833092214542142,0.3017149434924939,0.5804203241796545,0.1661429117928377,0.5652637477249267,0.6671656686626747,-0.56102703363428,0.0064728143127787,0.2285441282853552,-0.0069766316640348,-0.540015227574029
aurafinance.eth,6.6052979209482015,0.5676371786048209,0.2886094926644116,0.6650027813926968,0.6649678749850313,3.0494963350705357,0.7682926829268293,-1.62562209047204,-0.415829159440421,-0.0730314481287584,-0.390401883871674,0.406252905342218
autometafi.eth,8.820256365906321,0.1354044200846704,0.4298922345296602,0.0,1.0,1.466337068793427,0.0174324124686068,0.5748549855709831,-0.450376791430885,-0.203322530500801,-0.655001735955822,0.4785808715076189
awsbcommunity.eth,6.6293632534374485,0.2987769686661,0.296242733816672,0.49195941951268,0.2756165803777591,2.4244749106030823,0.6957671957671958,-0.114940447927582,-0.0013216276775796,0.1797175813738633,0.2604793027879166,0.0856581211970722
babydogevote.eth,8.795884972029885,0.1822600796745035,0.3654499547230981,0.832328027969541,0.5703889684864744,1.135122210707902,0.237511353315168,0.4082533672727156,-0.282571656766993,-0.15521637725542,-0.568491981242522,0.279633096036872
badgerdao.eth,9.080801000621198,0.1969197278438569,0.2997438160325945,0.921118941743662,0.5505496915880407,1.0127808528183286,0.5033014571948998,0.3059026572292727,-0.346680255189461,-0.107941735799199,-0.403737634987609,0.1557493660845774
balancer.eth,8.984818995876008,0.6316887402014736,0.2898176556174972,0.8829775593967457,0.740541249941734,2.7985090820684753,0.7494987468671679,0.2611351299256789,-0.185607112159479,-0.164173991579201,-0.172808455331824,0.2282521386282884
bancornetwork.eth,6.9930151229329605,0.5184586972398196,0.2500237747989988,0.833539415674748,0.450825612141838,2.3890622684762155,0.8345588235294118,0.3048228404948093,-0.139735877468794,-0.106189278226002,0.0286175138540384,0.1222154485080371
banklessvault.eth,8.256866848974312,0.5538031793906288,0.2335413082149602,0.783979437779458,0.2161213357629268,1.061174761595979,0.6991954321308071,0.0472899810295767,-0.371509717476682,0.0288849992997778,-0.27775849943376,0.2383353173452844
baovotes.eth,7.347943823148687,0.2508635327547857,0.3293669129631449,0.8284130620675062,0.4672429446812943,0.9697898726466814,0.5302835051546392,0.2783999168332989,-0.241324884614325,-0.164890544909186,-0.440197516119371,0.216905605815707
barnbridge.eth,6.104793232414985,0.5447887804392332,0.289343718554924,0.7365645143713705,0.5218957270033465,0.6549126202580835,0.4608501118568233,0.0664883599836018,0.0628480995381487,0.0062102954798138,-0.17018520325163,0.1193462328238467
basedpiggy.eth,6.393590753950631,0.5989034802146064,0.2396798541432612,0.8676232461747447,0.37801724596852,0.99714282850325,0.5510887772194305,-0.0430412479230576,-0.318753408529024,0.1206231405892256,-0.172495930166657,0.2586940396096644
beanstalkdao.eth,6.771935555839602,0.5430941243121459,0.296512046749487,0.7232317872253632,0.1429014331786001,0.7793139419236595,0.7385321100917431,0.5500357238796852,-0.429359663173303,-0.170211266801273,-0.532647499504629,0.447656137736948
beanstalkfarms.eth,6.60934924316738,0.2352361287592353,0.3442346520836345,0.6263305913718507,0.4097205463818666,1.6274564179367788,0.7017543859649122,0.3826623060918513,-0.253816941332962,-0.188395964559894,-0.313425560764815,0.2801650728836222
beefydao.eth,7.821242083523558,0.3614652141899018,0.2789664565889693,0.8974210294778632,0.4941517593677829,1.2254388642208138,0.5437399678972713,-0.163189811463241,-0.0732196677981971,0.3611922171948506,-0.0415495071021019,-0.0567318905042713
beets.eth,8.759197750371365,0.4207224067166604,0.318428124032241,0.8836862982567294,0.4062774105576457,1.604279938393832,0.759108040201005,-1.99004593502644,-0.416350894773651,-0.153087551400344,-0.30291127368655,0.4420307481141582
benddao.eth,5.68697535633982,0.402553806762886,0.3125418557022145,0.728946856388249,0.5417382232114017,1.1411370932357143,0.6496598639455783,-0.0176398957710198,-0.0570367155140724,0.2586313656595958,-0.017207657071244,-0.164516234999746
